block_number,timestamp_utc,gas_used,gas_limit,gas_used_ratio
24398918,2026-02-06T16:16:11+00:00,26891837,60000000,0.4481972833333333
24398919,2026-02-06T16:16:23+00:00,15603187,60000000,0.26005311666666664
24398920,2026-02-06T16:16:35+00:00,54468016,60000000,0.9078002666666667
24398921,2026-02-06T16:16:47+00:00,26031631,60000000,0.43386051666666664
24398922,2026-02-06T16:16:59+00:00,42706596,60000000,0.7117766
24398923,2026-02-06T16:17:11+00:00,11414010,60000000,0.1902335
24398924,2026-02-06T16:17:23+00:00,38912577,60000000,0.64854295
24398925,2026-02-06T16:17:35+00:00,14469732,60000000,0.2411622
24398926,2026-02-06T16:17:47+00:00,40446953,60000000,0.6741158833333334
24398927,2026-02-06T16:17:59+00:00,28818656,60000000,0.48031093333333336
24398928,2026-02-06T16:18:11+00:00,20027459,60000000,0.33379098333333335
24398929,2026-02-06T16:18:23+00:00,45777405,60000000,0.76295675
24398930,2026-02-06T16:18:35+00:00,12963343,60000000,0.21605571666666668
24398931,2026-02-06T16:18:47+00:00,15058677,60000000,0.25097795
24398932,2026-02-06T16:18:59+00:00,55344756,60000000,0.9224126
24398933,2026-02-06T16:19:11+00:00,27797181,60000000,0.46328635
24398934,2026-02-06T16:19:23+00:00,30196391,60000000,0.5032731833333334
24398935,2026-02-06T16:19:35+00:00,26743806,60000000,0.4457301
24398936,2026-02-06T16:19:47+00:00,34671581,60000000,0.5778596833333334
24398937,2026-02-06T16:19:59+00:00,13482732,60000000,0.2247122
24398938,2026-02-06T16:20:11+00:00,59854348,60000000,0.9975724666666667
24398939,2026-02-06T16:20:23+00:00,15377633,60000000,0.25629388333333336
24398940,2026-02-06T16:20:35+00:00,42665304,60000000,0.7110884
24398941,2026-02-06T16:20:47+00:00,34981871,60000000,0.5830311833333334
24398942,2026-02-06T16:20:59+00:00,21166395,60000000,0.35277325
24398943,2026-02-06T16:21:11+00:00,59038615,60000000,0.9839769166666666
24398944,2026-02-06T16:21:23+00:00,51871292,60000000,0.8645215333333334
24398945,2026-02-06T16:21:35+00:00,26148624,60000000,0.4358104
24398946,2026-02-06T16:21:47+00:00,15840107,60000000,0.26400178333333335
24398947,2026-02-06T16:21:59+00:00,49677404,60000000,0.8279567333333333
24398948,2026-02-06T16:22:11+00:00,10178149,60000000,0.16963581666666666
24398949,2026-02-06T16:22:23+00:00,59885799,60000000,0.99809665
24398950,2026-02-06T16:22:35+00:00,18904666,60000000,0.31507776666666665
24398951,2026-02-06T16:22:47+00:00,40873342,60000000,0.6812223666666667
24398952,2026-02-06T16:22:59+00:00,40042121,60000000,0.6673686833333333
24398953,2026-02-06T16:23:11+00:00,31170515,60000000,0.5195085833333334
24398954,2026-02-06T16:23:23+00:00,27541721,60000000,0.45902868333333335
